,edad,estado,formacion,ocupacion,universidad,periodo_clase,tipo_trabajo,moneda,salario,gastos,rango_vivienda,rango_alimentacion,rango_transporte,act_extracurricular,rango_extracurricular,bool_ahorro,rango_ahorro,educacion_financiera,bool_educacion_financiera,nivel_vida,nivel_satisfaccion
230,21 a 23 años.,Mérida,Universitario.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$120 a $160.,"Alimentación, Transporte",$40 a 80$,$20 a $40,$20 a $40,Deporte,$10 a $30,Sí,$0 a $10,Sí,Sí,Mejor.,Neutral.
231,18 a 20 años.,Mérida,Universitario.,Estudiante.,Pública.,Trimestre.,,,,,,,,,,,,,,Igual.,Neutral.
232,18 a 20 años.,Mérida,Universitario.,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
233,18 a 20 años.,Táchira,Universitario.,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Peor.,Nada satisfecho.
234,21 a 23 años.,Mérida,Universitario.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,$80 a $120.,"Alimentación, Transporte",$0,$60 a $80,$20 a $40,No aplica.,Más de $70,Sí,Más de $80,No,Sí,Mejor.,Neutral.
235,18 a 20 años.,Mérida,Universitario.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,$160 a $200.,"Alimentación, Transporte",$0,Más de $100,$20 a $40,Gimnasio,$10 a $30,Sí,$20 a $50,Sí,Sí,Mejor.,Neutral.
236,21 a 23 años.,Barinas,Universitario.,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Neutral.
237,21 a 23 años.,Barinas,Universitario.,Empleado o emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$240 a $280,"Vivienda., Alimentación, Transporte",$0,$60 a $80,$40 a $60,No aplica.,$0,Sí,$50 a $80,Sí,Sí,Peor.,Neutral.
238,18 a 20 años.,Mérida,Univesitario.,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
239,21 a 23 años.,Distrito Capital,Univesitario.,Estudiante.,Privada.,Trimestre.,,,,,,,,,,,,,,Igual.,Neutral.
